country_code,dataset,model,r2,mae,success,error
DE,htec_emp_nat2,polynomial_deg2,-3.6553,1475.39,True,
DE,isoc_sks_itsps,polynomial_deg2,-4.3843,189.96,True,
DE,jvs_q_nace2,polynomial_deg2,-2.7508,456143.58,True,
EE,htec_emp_nat2,polynomial_deg2,-0.1708,19.34,True,
EE,isoc_sks_itsps,polynomial_deg2,-4.1351,4.38,True,
EE,jvs_q_nace2,polynomial_deg2,-10.8384,4217.82,True,
EU27_2020,htec_emp_nat2,polynomial_deg2,-5.2853,8487.61,True,
EU27_2020,isoc_sks_itsps,polynomial_deg2,-0.1108,497.31,True,
IE,htec_emp_nat2,polynomial_deg2,-0.453,133.94,True,
IE,isoc_sks_itsps,polynomial_deg2,-2.7295,18.29,True,
NL,htec_emp_nat2,polynomial_deg2,0.7387,75.79,True,
NL,isoc_sks_itsps,polynomial_deg2,-0.1515,42.28,True,
NL,jvs_q_nace2,polynomial_deg2,-2.0997,97404.81,True,
NO,htec_emp_nat2,polynomial_deg2,-4.0057,96.3,True,
NO,isoc_sks_itsps,polynomial_deg2,-7.4944,8.67,True,
NO,jvs_q_nace2,polynomial_deg2,-2.2247,26431.96,True,
PL,htec_emp_nat2,polynomial_deg2,-324.1207,797.54,True,
PL,isoc_sks_itsps,polynomial_deg2,-2.5073,87.77,True,
PL,jvs_q_nace2,polynomial_deg2,-32.1913,62969.14,True,
PT,htec_emp_nat2,polynomial_deg2,-17.5562,512.28,True,
PT,isoc_sks_itsps,polynomial_deg2,-0.0314,16.53,True,
PT,jvs_q_nace2,polynomial_deg2,-3.3538,5825.59,True,
